ascertain find_out
commence begin
consequently so
endeavor try
facilitate help
furthermore also
hence so
utilize use
investigation look
attempt try
unravel figure_out
countless many
terminate end
obtain get
initiate start
consumer buyer
especially very
identify see
subsequently afterward
perceive see
numerous many
cease stop
commence begin
anticipate   expect
commence   begin
demonstrate  show
elaborate  explain
fluctuate  change
illustrate  show
implement carry_out
perceive  see
alleviate  ease
commence  begin
comprehend  understand
consequently  so
endeavor  try
facilitate  help
furthermore  also
diminish  reduce
arcane old
inane dumb
exacerbate make_worse
egregious bad
embezzlement money_theft
emulate copy
neophyte beginner
phlegmatic unemotional
obfuscate make_unclear
divisive controversial
despot cruel_dictator
debunk prove_wrong
capitulate give_up
callous hardened
elaborate  explain
fluctuate  change
hinder  stop
implement  carry out
initiate  start
utilitarian functional
perceive  see
zephyr slight_wind
ubiquitous everywhere
significant important
subsequently  afterward
abundant  plenty
accelerate  speed up
accomplish  achieve
accumulate  gather
acknowledge  admit
acquire  get
adapt  adjust
adequate  enough
quaint quaint-Charming-and-old.
investment investment-Put_effort_or_financials_into_something.
cryptic cryptic-A_mysterious_and_hard_thing_to_figure_out.
